"","individual.local.identifier","tag.local.identifier","study.local.timestamp","date"
"544","TEST",9437,2023-07-02 11:21:09,2023-07-02
"545","TEST",9437,2023-07-02 11:22:41,2023-07-02
"546","TEST",9437,2023-07-02 11:24:10,2023-07-02
"547","TEST",9437,2023-07-02 11:25:53,2023-07-02
"548","TEST",9437,2023-07-02 11:27:10,2023-07-02
"549","TEST",9437,2023-07-02 11:28:48,2023-07-02
"550","TEST",9437,2023-07-02 11:30:09,2023-07-02
"551","TEST",9437,2023-07-02 11:31:40,2023-07-02
"552","TEST",9437,2023-07-02 11:33:09,2023-07-02
"553","TEST",9437,2023-07-02 11:34:36,2023-07-02
"554","TEST",9437,2023-07-02 11:36:06,2023-07-02
"555","TEST",9437,2023-07-02 11:37:37,2023-07-02
"556","TEST",9437,2023-07-02 11:39:10,2023-07-02
"557","TEST",9437,2023-07-02 11:40:41,2023-07-02
